horizon_name,horizon_steps,horizon_seconds,split,sensor,mae_raw,mae_scaled,n_windows
3s,30,3.0,train,Accelerometer,0.001924827377756,0.0583816641948973,2009700
3s,30,3.0,train,GasLeak,19.349470037996905,0.0574655646425263,2009700
3s,30,3.0,train,Pressure_1,0.0624396918166085,0.0590370187935677,2009700
3s,30,3.0,train,Pressure_2,0.0623147568885301,0.0579460787575427,2009700
3s,30,3.0,train,Temperature_1,2.211441195413804,0.06083007627007,2009700
3s,30,3.0,train,Temperature_2,2.214489991526737,0.0606897714903348,2009700
3s,30,3.0,train,ALL_MEAN,3.98368008350339,0.0590583623581565,2009700
3s,30,3.0,val,Accelerometer,0.001935315145945,0.0586997671934503,430650
3s,30,3.0,val,GasLeak,19.52423790850059,0.0579846038896036,430650
3s,30,3.0,val,Pressure_1,0.0628661546061629,0.0594402413430259,430650
3s,30,3.0,val,Pressure_2,0.0621129205456668,0.0577583924821936,430650
3s,30,3.0,val,Temperature_1,2.216878187590236,0.0609796315236567,430650
3s,30,3.0,val,Temperature_2,2.229252868116089,0.0610943592781216,430650
3s,30,3.0,val,ALL_MEAN,4.016213892417448,0.0593261659516753,430650
3s,30,3.0,test,Accelerometer,0.001931402664119,0.058581098266163,430650
3s,30,3.0,test,GasLeak,19.33849683699015,0.0574329755746836,430650
3s,30,3.0,test,Pressure_1,0.0632870412536224,0.0598381916242189,430650
3s,30,3.0,test,Pressure_2,0.061821795909774,0.0574876776158919,430650
3s,30,3.0,test,Temperature_1,2.1871355370308234,0.0601615009282084,430650
3s,30,3.0,test,Temperature_2,2.221599785447723,0.0608846207649122,430650
3s,30,3.0,test,ALL_MEAN,3.9790453998827022,0.059064344129013,430650
6s,60,6.0,train,Accelerometer,0.0026366670869771,0.0799723727148397,1988700
6s,60,6.0,train,GasLeak,26.35309769131654,0.0782654840642828,1988700
6s,60,6.0,train,Pressure_1,0.0854222997305809,0.080767181385137,1988700
6s,60,6.0,train,Pressure_2,0.0852861372424371,0.0793070128543901,1988700
6s,60,6.0,train,Temperature_1,2.960081430333053,0.0814229107905737,1988700
6s,60,6.0,train,Temperature_2,2.964536310688524,0.0812453576032856,1988700
6s,60,6.0,train,ALL_MEAN,5.408510089399685,0.0801633865687515,1988700
6s,60,6.0,val,Accelerometer,0.002659835383376,0.0806750870028641,426150
6s,60,6.0,val,GasLeak,26.598613516239823,0.0789946361020484,426150
6s,60,6.0,val,Pressure_1,0.0856292810126919,0.0809628831492936,426150
6s,60,6.0,val,Pressure_2,0.085751136944393,0.0797394129903638,426150
6s,60,6.0,val,Temperature_1,2.9621073986296897,0.0814786390668944,426150
6s,60,6.0,val,Temperature_2,2.9881090981733105,0.081891387655946,426150
6s,60,6.0,val,ALL_MEAN,5.4538117110638815,0.0806236743279017,426150
6s,60,6.0,test,Accelerometer,0.0026456789569148,0.0802457104543963,426150
6s,60,6.0,test,GasLeak,26.33162255918524,0.0782017055426346,426150
6s,60,6.0,test,Pressure_1,0.0868406282650555,0.0821082176059942,426150
6s,60,6.0,test,Pressure_2,0.0850738431166725,0.0791096019561446,426150
6s,60,6.0,test,Temperature_1,2.9471710280808128,0.0810677845700303,426150
6s,60,6.0,test,Temperature_2,2.981180286571555,0.0817014983385776,426150
6s,60,6.0,test,ALL_MEAN,5.405755670696041,0.080405753077963,426150
30s,300,30.0,train,Accelerometer,0.0091654547977118,0.2779961000021335,1820700
30s,300,30.0,train,GasLeak,89.95978912196793,0.2671695951808954,1820700
30s,300,30.0,train,Pressure_1,0.2987825621387497,0.2825003010582407,1820700
30s,300,30.0,train,Pressure_2,0.2962820746407233,0.2755107343560791,1820700
30s,300,30.0,train,Temperature_1,10.12012295415822,0.2783740541872017,1820700
30s,300,30.0,train,Temperature_2,10.063803695765284,0.2758061445102752,1820700
30s,300,30.0,train,ALL_MEAN,18.457990977244773,0.276226154882471,1820700
30s,300,30.0,val,Accelerometer,0.0092863073986873,0.2816616629761247,390150
30s,300,30.0,val,GasLeak,93.06286154598696,0.2763853415875271,390150
30s,300,30.0,val,Pressure_1,0.290415826572098,0.2745895136965732,390150
30s,300,30.0,val,Pressure_2,0.3009002586209929,0.2798051529817705,390150
30s,300,30.0,val,Temperature_1,10.25052473519661,0.2819610138146015,390150
30s,300,30.0,val,Temperature_2,10.082076067603804,0.2763069126671468,390150
30s,300,30.0,val,ALL_MEAN,18.99934412356319,0.278451599620624,390150
30s,300,30.0,test,Accelerometer,0.0092983947230091,0.2820282818832157,390150
30s,300,30.0,test,GasLeak,91.2654489481708,0.2710472455246239,390150
30s,300,30.0,test,Pressure_1,0.2989385603284123,0.2826477980715496,390150
30s,300,30.0,test,Pressure_2,0.3023793290600371,0.2811805307643097,390150
30s,300,30.0,test,Temperature_1,10.060953525643582,0.2767464816987869,390150
30s,300,30.0,test,Temperature_2,10.059017585167444,0.2756749775329484,390150
30s,300,30.0,test,ALL_MEAN,18.66600605718221,0.2782208859125723,390150
60s,600,60.0,train,Accelerometer,0.0176446018485923,0.5351758977878144,1610700
60s,600,60.0,train,GasLeak,171.95552544388116,0.5106869254625798,1610700
60s,600,60.0,train,Pressure_1,0.5763206001022899,0.544913805777448,1610700
60s,600,60.0,train,Pressure_2,0.5702756604966035,0.5302955509520461,1610700
60s,600,60.0,train,Temperature_1,19.47158380391352,0.5356045326222141,1610700
60s,600,60.0,train,Temperature_2,19.28674757989752,0.5285678905275912,1610700
60s,600,60.0,train,ALL_MEAN,35.31301628168995,0.5308741005216157,1610700
60s,600,60.0,val,Accelerometer,0.0179072248271214,0.5431414778286737,345150
60s,600,60.0,val,GasLeak,178.95582598838357,0.5314769637771822,345150
60s,600,60.0,val,Pressure_1,0.5535147106868528,0.5233507313475217,345150
60s,600,60.0,val,Pressure_2,0.5807718415429054,0.5400558800286787,345150
60s,600,60.0,val,Temperature_1,19.92736064858904,0.5481415787264655,345150
60s,600,60.0,val,Temperature_2,19.082744976127,0.5229770450265318,345150
60s,600,60.0,val,ALL_MEAN,36.51968756502608,0.5348572794558423,345150
60s,600,60.0,test,Accelerometer,0.0180672665856239,0.5479956815406681,345150
60s,600,60.0,test,GasLeak,176.06695249935663,0.5228973620670704,345150
60s,600,60.0,test,Pressure_1,0.5735426441063833,0.5422872354731015,345150
60s,600,60.0,test,Pressure_2,0.583982012769639,0.5430409969418718,345150
60s,600,60.0,test,Temperature_1,19.269039642980207,0.5300331537480293,345150
60s,600,60.0,test,Temperature_2,19.28952127330288,0.5286439056911717,345150
60s,600,60.0,test,ALL_MEAN,35.96685088985023,0.5358163892436522,345150
120s,1200,120.0,train,Accelerometer,0.0341207465228708,1.0349114879588326,1190700
120s,1200,120.0,train,GasLeak,331.5566092731202,0.984682667040826,1190700
120s,1200,120.0,train,Pressure_1,1.1165086136661773,1.0556640830609818,1190700
120s,1200,120.0,train,Pressure_2,1.102815805200681,1.0255010962737774,1190700
120s,1200,120.0,train,Temperature_1,37.76218035654057,1.0387236685182013,1190700
120s,1200,120.0,train,Temperature_2,37.254072064352144,1.020975994166151,1190700
120s,1200,120.0,train,ALL_MEAN,68.13771780990045,1.0267431661697952,1190700
120s,1200,120.0,val,Accelerometer,0.0346588240425486,1.051231840333119,255150
120s,1200,120.0,val,GasLeak,346.9131378148346,1.0302896827299255,255150
120s,1200,120.0,val,Pressure_1,1.0637213450119685,1.0057534752259398,255150
120s,1200,120.0,val,Pressure_2,1.130383328315245,1.051135953012516,255150
120s,1200,120.0,val,Temperature_1,38.99161034481698,1.07254157880705,255150
120s,1200,120.0,val,Temperature_2,36.70497811582561,1.0059276596104236,255150
120s,1200,120.0,val,ALL_MEAN,70.80641496214116,1.0361466982864955,255150
120s,1200,120.0,test,Accelerometer,0.0352898330901099,1.0703708856025254,255150
120s,1200,120.0,test,GasLeak,343.4570125491991,1.0200254124695496,255150
120s,1200,120.0,test,Pressure_1,1.102008273567589,1.0419539441091772,255150
120s,1200,120.0,test,Pressure_2,1.1349353352053548,1.055368834001381,255150
120s,1200,120.0,test,Temperature_1,37.38810133939783,1.028433883200367,255150
120s,1200,120.0,test,Temperature_2,37.22700633430617,1.0202342373833255,255150
120s,1200,120.0,test,ALL_MEAN,70.05739227746103,1.039397866127721,255150
9s,90,9.0,test,Accelerometer,0.0033698848974864,0.1022114973706708,421650
9s,90,9.0,test,GasLeak,33.47113903136255,0.0994051981728007,421650
9s,90,9.0,test,Pressure_1,0.1105763101645363,0.1045504151506826,421650
9s,90,9.0,test,Pressure_2,0.1090823749774434,0.1014349763541513,421650
9s,90,9.0,test,Temperature_1,3.7294371382386977,0.1025855654828035,421650
9s,90,9.0,test,Temperature_2,3.75977290454368,0.1030394173400595,421650
9s,90,9.0,test,ALL_MEAN,6.863896274030732,0.1022045116451947,421650
9s,90,9.0,train,Accelerometer,0.0033606666396569,0.1019318997094555,1967700
9s,90,9.0,train,GasLeak,33.40958826024125,0.0992223998941024,1967700
9s,90,9.0,train,Pressure_1,0.1087238973115271,0.1027989501892963,1967700
9s,90,9.0,train,Pressure_2,0.1087085860439718,0.1010873925062933,1967700
9s,90,9.0,train,Temperature_1,3.741924569562337,0.1029290570490318,1967700
9s,90,9.0,train,Temperature_2,3.746814231357253,0.1026842751097891,1967700
9s,90,9.0,train,ALL_MEAN,6.853186701859333,0.1017756624096614,1967700
9s,90,9.0,val,Accelerometer,0.003395365551347,0.1029843474424972,421650
9s,90,9.0,val,GasLeak,33.86695863232056,0.1005807340826196,421650
9s,90,9.0,val,Pressure_1,0.108088488040002,0.1021981677700811,421650
9s,90,9.0,val,Pressure_2,0.1095230768567997,0.1018447821061893,421650
9s,90,9.0,val,Temperature_1,3.741740389859,0.1029239908209879,421650
9s,90,9.0,val,Temperature_2,3.773472487275028,0.103414864756241,421650
9s,90,9.0,val,ALL_MEAN,6.933863073317124,0.1023244811631027,421650
