run_dir,model_type,horizon,horizon_order,horizon_steps,input_len,input_seconds,test_loss_scaled,test_mae_scaled,test_mae_raw_mean,naive_mae_raw_mean,naive_mae_scaled,delta_vs_naive_raw,improvement_vs_naive_raw_percent,model_path,mae_Accelerometer,mae_GasLeak,mae_Pressure_1,mae_Pressure_2,mae_Temperature_1,mae_Temperature_2
/workspace/DeepLearning/tern/outputs/runs/runs_cnn1d_3s,cnn1d,3s,0,30,100,10.0,0.008821367286145687,0.06480284035205841,4.359881775308277,3.9790453998827022,0.059064344129013,0.3808363754255746,-9.571048760509273,/workspace/DeepLearning/tern/runs_cnn1d_3s/best_cnn1d_3s.keras,0.002062350706011057,21.24612060546875,0.07197030992507934,0.06899006175994873,2.31727822303772,2.4528691009521486
/workspace/DeepLearning/tern/outputs/runs/runs_gru_3s,gru,3s,0,30,100,10.0,0.005623020697385073,0.053916942328214645,3.692497190502472,3.9790453998827022,0.059064344129013,-0.2865482093802303,7.2014310112842,/workspace/DeepLearning/tern/runs_gru_3s/best_gru_3s.keras,0.0017323499750345945,18.02278830566406,0.05868033323287964,0.0555841877579689,1.9325933414459229,2.083604624938965
/workspace/DeepLearning/tern/outputs/runs/runs_lstm_3s,lstm,3s,0,30,100,10.0,0.006092583294957876,0.056581415235996246,3.9286582469940186,3.9790453998827022,0.059064344129013,-0.05038715288868367,1.2663125907075359,/workspace/DeepLearning/tern/runs_lstm_3s/best_lstm_3s.keras,0.0018212917493656278,19.250062942504883,0.06095196679234505,0.05818334221839905,2.0957529544830322,2.105177640914917
/workspace/DeepLearning/tern/outputs/runs/runs_cnn1d_30s,cnn1d,30s,2,300,100,10.0,0.028124788776040077,0.11970068514347076,8.087456194303556,18.66600605718221,0.2782208859125723,-10.578549862878653,56.67280847585653,/workspace/DeepLearning/tern/runs_cnn1d_30s/best_cnn1d_30s.keras,0.003858414567261934,39.42335426025391,0.1294928630590439,0.1279076823234558,4.402522029876709,4.4376019157409665
/workspace/DeepLearning/tern/outputs/runs/runs_gru_30s,gru,30s,2,300,100,10.0,0.022807598114013672,0.10812127590179443,7.283082741461695,18.66600605718221,0.2782208859125723,-11.382923315720515,60.98210447832064,/workspace/DeepLearning/tern/runs_gru_30s/best_gru_30s.keras,0.0035625985771417616,35.566308856201175,0.1178662672996521,0.11485775928497315,3.967679446411133,3.9282215209960936
/workspace/DeepLearning/tern/outputs/runs/runs_lstm_30s,lstm,30s,2,300,100,10.0,0.023716142401099205,0.11008675396442413,7.436020453608905,18.66600605718221,0.2782208859125723,-11.229985603573304,60.16276630989461,/workspace/DeepLearning/tern/runs_lstm_30s/best_lstm_30s.keras,0.003596987657994032,36.29919434814453,0.12023008518218994,0.11633044037818908,4.085920393371582,3.9908504669189453
/workspace/DeepLearning/tern/outputs/runs/runs_cnn1d_60s,cnn1d,60s,3,600,100,10.0,0.04699701815843582,0.15590128302574158,10.434155720633763,35.96685088985023,0.5358163892436522,-25.532695169216467,70.98952101036386,/workspace/DeepLearning/tern/runs_cnn1d_60s/best_cnn1d_60s.keras,0.0050570693403482435,50.62473269042969,0.172030282497406,0.16062398612499237,5.761953940582275,5.880536354827881
/workspace/DeepLearning/tern/outputs/runs/runs_gru_60s,gru,60s,3,600,100,10.0,0.03973986208438873,0.14355450868606567,9.627659591779237,35.96685088985023,0.5358163892436522,-26.339191298070993,73.23185279338387,/workspace/DeepLearning/tern/runs_gru_60s/best_gru_60s.keras,0.0045650594301521775,46.756369665527345,0.16076766719818114,0.148773987865448,5.294794023132324,5.400687147521973
/workspace/DeepLearning/tern/outputs/runs/runs_lstm_60s,lstm,60s,3,600,100,10.0,0.04337586835026741,0.14848992228507996,9.728864285136014,35.96685088985023,0.5358163892436522,-26.237986604714216,72.95046954505133,/workspace/DeepLearning/tern/runs_lstm_60s/best_lstm_60s.keras,0.004690254501998424,46.781940795898436,0.16656412305831908,0.1537128129005432,5.521946870422363,5.744330854034424
/workspace/DeepLearning/tern/outputs/runs/runs_cnn1d_120s,cnn1d,120s,4,1200,100,10.0,0.09128493070602417,0.21103063225746155,13.799977508883053,70.05739227746103,1.039397866127721,-56.25741476857798,80.30189668746377,/workspace/DeepLearning/tern/runs_cnn1d_120s/best_cnn1d_120s.keras,0.006459001948684454,66.64231118164062,0.24681345858573914,0.2242064576625824,7.719072845458984,7.961002108001709
/workspace/DeepLearning/tern/outputs/runs/runs_gru_120s,gru,120s,4,1200,100,10.0,0.07810664176940918,0.19549714028835297,13.014061084501321,70.05739227746103,1.039397866127721,-57.04333119295971,81.42371466959636,/workspace/DeepLearning/tern/runs_gru_120s/best_gru_120s.keras,0.006116631033271551,63.002413793945315,0.2236228819847107,0.2006997570514679,7.400610736083984,7.25090270690918
/workspace/DeepLearning/tern/outputs/runs/runs_lstm_120s,lstm,120s,4,1200,100,10.0,0.09079001843929291,0.20667284727096558,13.898020379173387,70.05739227746103,1.039397866127721,-56.159371898287645,80.1619501848848,/workspace/DeepLearning/tern/runs_lstm_120s/best_lstm_120s.keras,0.0062972369886934755,67.2724996826172,0.23794744567871093,0.20887580251693724,7.805449197387695,7.857052909851074
/workspace/DeepLearning/tern/outputs/runs/runs_cnn1d_9s,cnn1d,9s,999,90,100,10.0,0.013369503431022167,0.07997406274080276,5.4673509966731695,6.863896274030732,0.1022045116451947,-1.3965452773575624,20.346246819628288,/workspace/DeepLearning/tern/outputs/runs/runs_cnn1d_9s/best_cnn1d_9s.keras,0.002606219506636262,26.7652697265625,0.08705298631191254,0.08383306229114533,2.878355109024048,2.9869888763427737
/workspace/DeepLearning/tern/outputs/runs/runs_gru_9s,gru,9s,999,90,100,10.0,0.010284843854606152,0.07203080505132675,4.865503940022985,6.863896274030732,0.1022045116451947,-1.9983923340077467,29.114547397351874,/workspace/DeepLearning/tern/outputs/runs/runs_gru_9s/best_gru_9s.keras,0.0023378068625926974,23.70206566772461,0.07898156583309174,0.07499952424764633,2.6283008476257326,2.7063382278442383
/workspace/DeepLearning/tern/outputs/runs/runs_lstm_9s,lstm,9s,999,90,100,10.0,0.010361401364207268,0.07313753664493561,4.999647213593622,6.863896274030732,0.1022045116451947,-1.8642490604371096,27.160216093160074,/workspace/DeepLearning/tern/outputs/runs/runs_lstm_9s/best_lstm_9s.keras,0.002398228535056114,24.45598442993164,0.07960415849685669,0.07566786237955093,2.624306577682495,2.7599220245361327
